"year","month","sti1","ts","time","sti2","sti3","sti4","sti5","sti6","sti7","sti8","sti9","sti10","sti11","sti12"
1880,12,-1.24081,1880.96,"1880-12-15 00:00:00",-1.67849307162345,-2.15089402105389,-2.5060939069555,-2.39786143838743,-2.47243114899477,-2.48314305854776,-2.50769425307503,-2.94034172990703,-3.0609822904862,-3.32632895392282,-3.43020853579457
1881,1,-0.910122,1881.04,"1881-1-15 00:00:00",-1.44154077657854,-1.81081997865294,-2.23052652452699,-2.56253744084525,-2.48175471662424,-2.55782035391436,-2.57286830182602,-2.59879203134846,-3.00766385936669,-3.12505114115184,-3.38014260037136
1881,2,-0.910059,1881.12,"1881-2-15 00:00:00",-1.21987358607966,-1.62328945639412,-1.94246667144972,-2.32025531103112,-2.62995512184421,-2.56632950317458,-2.64198576162252,-2.65966372537787,-2.68625463619588,-3.07457163912638,-3.18871140359751
1881,3,-0.368965,1881.21,"1881-3-15 00:00:00",-0.857193649182116,-1.16093697116632,-1.54059701062555,-1.85335616104851,-2.21956780615193,-2.52597396051952,-2.48698141130263,-2.57206327035953,-2.60034066372981,-2.63484435910174,-3.01181873630436
1881,4,-0.418055,1881.29,"1881-4-15 00:00:00",-0.527455736389082,-0.899986457773928,-1.17104886088916,-1.51944780009196,-1.81676501884805,-2.16649410630247,-2.46439740593795,-2.44105490926781,-2.53090110679538,-2.56582574205293,-2.60532896948876
1881,5,-0.237626,1881.38,"1881-5-15 00:00:00",-0.43943318427909,-0.543385148253101,-0.868990954823414,-1.1233247843606,-1.45209136884669,-1.73932505896951,-2.07727665691037,-2.36921283920431,-2.35987633361623,-2.45491240191656,-2.49671446360946
1881,6,-2.26733,1881.46,"1881-6-15 00:00:00",-1.67880538182289,-1.55011659205271,-1.47862199534077,-1.65923975702237,-1.81693064163292,-2.06566085014336,-2.29279159614027,-2.57836375575462,-2.82940789404577,-2.80141962755106,-2.87470265293731
1881,7,-0.705897,1881.54,"1881-7-15 00:00:00",-1.99263759083238,-1.70276352362076,-1.62995817340955,-1.57862317308787,-1.74434627845951,-1.89173442453266,-2.12488566917925,-2.34058237387928,-2.6130032552318,-2.85472365334261,-2.83230567509915
1881,8,-0.431101,1881.62,"1881-8-15 00:00:00",-0.76200873848557,-1.80536621914513,-1.63581790706229,-1.60315855214644,-1.57411804285266,-1.73598122668093,-1.88114403450468,-2.1064328479336,-2.31653390433272,-2.58107797001568,-2.81754276501075
1881,9,-1.24002,1881.71,"1881-9-15 00:00:00",-1.11997453387494,-1.26056831171965,-2.08605260391233,-1.92772438914705,-1.88370292454693,-1.84326771499012,-1.98045116558001,-2.10621067307032,-2.31027260493383,-2.50308985570808,-2.74998562281077
1881,10,-1.75125,1881.79,"1881-10-15 00:00:00",-2.00472989325375,-1.814934692774,-1.85425041599983,-2.52540268501637,-2.3575386942175,-2.29271629676937,-2.23366962976101,-2.34276446851752,-2.44535365587063,-2.62521037114937,-2.79759147021253
1881,11,-1.40806,1881.88,"1881-11-15 00:00:00",-2.11734921924651,-2.33303070940043,-2.16963353425903,-2.18610638072176,-2.77352697443053,-2.61461542987461,-2.54646189696092,-2.4828192838209,-2.57712622138541,-2.66710108675443,-2.83198220496619
1881,12,-0.769142,1881.96,"1881-12-15 00:00:00",-1.45914676142637,-2.08331704064154,-2.32146783011264,-2.21107966591165,-2.24105043192083,-2.78743732434137,-2.65214742014639,-2.59536266390179,-2.5398344408532,-2.63179015649433,-2.71963278621159
1882,1,0.350998,1882.04,"1882-1-15 00:00:00",-0.280237416376555,-0.96846338274917,-1.60684712516732,-1.90225554742443,-1.86541546795384,-1.93609060045091,-2.4749576198988,-2.37907880930408,-2.34930595821938,-2.31593616457349,-2.41923907924016
